BenchmarkCallFrameStackPushPopFixed-32               	 1706668	       333.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallFrameStackPushPopFixed-32               	 1618723	       361.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallFrameStackPushPopFixed-32               	 1665693	       349.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallFrameStackPushPopShallowAutoGrow-32     	15813388	        39.78 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallFrameStackPushPopShallowAutoGrow-32     	16083297	        41.49 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallFrameStackPushPopShallowAutoGrow-32     	15829657	        39.04 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallFrameStackPushPopShallowFixed-32        	55389268	        11.17 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallFrameStackPushPopShallowFixed-32        	55663362	        11.19 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallFrameStackPushPopShallowFixed-32        	58099405	        12.50 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallFrameStackPushPopFixedNoInterface-32    	 1658988	       362.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallFrameStackPushPopFixedNoInterface-32    	 1883506	       426.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallFrameStackPushPopFixedNoInterface-32    	 1323621	       456.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallFrameStackUnwindAutoGrow-32             	  360838	      1614 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallFrameStackUnwindAutoGrow-32             	  353546	      1622 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallFrameStackUnwindAutoGrow-32             	  369727	      1630 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallFrameStackUnwindFixed-32                	 1671037	       354.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallFrameStackUnwindFixed-32                	 1692843	       360.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallFrameStackUnwindFixed-32                	 1704531	       359.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallFrameStackUnwindFixedNoInterface-32     	 1639831	       363.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallFrameStackUnwindFixedNoInterface-32     	 2262624	       260.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallFrameStackUnwindFixedNoInterface-32     	 2387414	       252.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkRegistryPushPopAutoGrow-32                  	   48512	     12401 ns/op	      54 B/op	       0 allocs/op
BenchmarkRegistryPushPopAutoGrow-32                  	   47266	     13554 ns/op	      56 B/op	       0 allocs/op
BenchmarkRegistryPushPopAutoGrow-32                  	   46369	     12472 ns/op	      57 B/op	       0 allocs/op
