BenchmarkVMGlobalAccess-32          	   13023	     44514 ns/op	    7960 B/op	      15 allocs/op
BenchmarkVMGlobalAccess-32          	   12903	     44743 ns/op	    7959 B/op	      15 allocs/op
BenchmarkForNumeric-32              	    4532	    138191 ns/op	       0 B/op	       0 allocs/op
BenchmarkForNumeric-32              	    4456	    136791 ns/op	       0 B/op	       0 allocs/op
BenchmarkForNumeric-32              	    4510	    137042 ns/op	       0 B/op	       0 allocs/op
BenchmarkForPairs-32                	   69036	      9663 ns/op	       0 B/op	       0 allocs/op
BenchmarkForPairs-32                	   70899	      8713 ns/op	       0 B/op	       0 allocs/op
BenchmarkForPairs-32                	   71790	      8991 ns/op	       0 B/op	       0 allocs/op
BenchmarkForIPairs-32               	  116841	      5551 ns/op	       0 B/op	       0 allocs/op
BenchmarkForIPairs-32               	  112652	      5246 ns/op	       0 B/op	       0 allocs/op
BenchmarkForIPairs-32               	  108969	      5802 ns/op	       0 B/op	       0 allocs/op
BenchmarkVMTableCreate-32           	   27292	     22746 ns/op	   47264 B/op	     304 allocs/op
BenchmarkVMTableCreate-32           	   25833	     22112 ns/op	   47264 B/op	     304 allocs/op
BenchmarkVMTableCreate-32           	   25984	     21915 ns/op	   47264 B/op	     304 allocs/op
BenchmarkClosureCreate-32           	   58010	     11002 ns/op	   16064 B/op	     304 allocs/op
BenchmarkClosureCreate-32           	   53372	      9697 ns/op	   16064 B/op	     304 allocs/op
BenchmarkClosureCreate-32           	   59391	      9883 ns/op	   16064 B/op	     304 allocs/op
BenchmarkIsIntegerValue-32                           	359965366	         1.636 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsIntegerValue-32                           	358821268	         1.654 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsIntegerValue-32                           	372271814	         1.635 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsArrayKey-32                               	361421587	         1.627 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsArrayKey-32                               	364552173	         1.619 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsArrayKey-32                               	372662392	         1.635 ns/op	       0 B/op	       0 allocs/op
BenchmarkAgentDataTransform-32                       	   12770	     46076 ns/op	   66304 B/op	     427 allocs/op
BenchmarkAgentDataTransform-32                       	   13299	     45872 ns/op	   66304 B/op	     427 allocs/op
BenchmarkAgentDataTransform-32                       	   13416	     44262 ns/op	   66304 B/op	     427 allocs/op
BenchmarkAgentStateMachine-32                        	  148077	      4064 ns/op	       0 B/op	       0 allocs/op
BenchmarkAgentStateMachine-32                        	  146227	      4096 ns/op	       0 B/op	       0 allocs/op
BenchmarkAgentStateMachine-32                        	  149538	      4056 ns/op	       0 B/op	       0 allocs/op
BenchmarkAgentMessageBuild-32                        	  160662	      3572 ns/op	    1904 B/op	      83 allocs/op
BenchmarkAgentMessageBuild-32                        	  163717	      3629 ns/op	    1904 B/op	      83 allocs/op
BenchmarkAgentMessageBuild-32                        	  163555	      3551 ns/op	    1904 B/op	      83 allocs/op
BenchmarkAgentNestedAccess-32                        	    6241	     95418 ns/op	   15880 B/op	      31 allocs/op
BenchmarkAgentNestedAccess-32                        	    5848	     98155 ns/op	   15880 B/op	      31 allocs/op
BenchmarkAgentNestedAccess-32                        	    5523	     97156 ns/op	   15880 B/op	      31 allocs/op
BenchmarkAgentBitwiseFlags-32                        	   16460	     36974 ns/op	       0 B/op	       0 allocs/op
BenchmarkAgentBitwiseFlags-32                        	   16471	     35875 ns/op	       0 B/op	       0 allocs/op
BenchmarkAgentBitwiseFlags-32                        	   16726	     36041 ns/op	       0 B/op	       0 allocs/op
BenchmarkAgentTableDispatch-32                       	    5556	    106240 ns/op	       0 B/op	       0 allocs/op
BenchmarkAgentTableDispatch-32                       	    5590	    106517 ns/op	       0 B/op	       0 allocs/op
BenchmarkAgentTableDispatch-32                       	    5684	    107197 ns/op	       0 B/op	       0 allocs/op
BenchmarkCoroutineYieldResume-32                     	  167541	      3455 ns/op	   10572 B/op	       5 allocs/op
BenchmarkCoroutineYieldResume-32                     	  185482	      3377 ns/op	   10572 B/op	       5 allocs/op
BenchmarkCoroutineYieldResume-32                     	  194150	      3246 ns/op	   10572 B/op	       5 allocs/op
BenchmarkStringEquality-32                           	    1438	    447691 ns/op	     176 B/op	       2 allocs/op
BenchmarkStringEquality-32                           	    1338	    394252 ns/op	     176 B/op	       2 allocs/op
BenchmarkStringEquality-32                           	    1524	    451205 ns/op	     176 B/op	       2 allocs/op
BenchmarkTypeChecking-32                             	    2562	    231600 ns/op	   20001 B/op	    1207 allocs/op
BenchmarkTypeChecking-32                             	    2481	    233871 ns/op	   20002 B/op	    1207 allocs/op
